Stat,Schema,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
ps,processes,0,0,3,23771,0,0,0,0,21667840,133008,0,2288,623422,0,0,11207,0,0,705,0,0,18,0,6819,0,0,234
ps,load_1,0,0,0,122,0,0,3,1828,513,133004,0,2284,1,0,0,108966,0,2475,46,0,0,0,1143320,55455744,1277962,0,3861
ps,load_5,0,0,2,0,0,0,0,361671,0,465170,0,69884,9022,0,0,484,0,0,40,0,0,0,1,6041,1,0,2574
ps,load_15,0,0,504769,41,0,0,0,0,696,0,0,96,87116,0,0,0,0,0,0,990190,0,1091920,17117,0,22315,0,0
ps,nr_running,0,0,127560842,0,204909,0,0,5230,1017,6672,0,152,330,0,0,37,0,0,608911360,72,0,0,158739,1891,137794,0,0
ps,nr_threads,0,0,0,0,0,0,0,52781,0,1280,0,15956,0,0,0,0,829802,0,0,25921,1,0,710,6950,789,0,234
intel_hsw,4424144,104,49098,26589173,0,2824,0,0,280,0,2741,0,136,37,0,0,0,0,103923900,0,121608,504769,0,0,0,3632,0,234
intel_hsw,4391377,864,0,136092,0,32011,0,0,0,0,66711552,0,0,0,674349,0,0,12095,9932250,628576,729,625496,0,19,0,4318,0,0
intel_hsw,4391633,85716,542,136076,0,158,0,0,3,0,507,0,3,0,1,0,0,117447,0,628548,49,625472,0,0,1194216,105603072,1331431,2106
intel_hsw,4392145,548,10273,342056,0,0,0,0,268736,414019,4465,519272,504769,0,9722,0,0,535,0,12892,41,12892,0,0,1,920,1,0
intel_hsw,4391249,0,80,108,0,54,0,0,268372,0,2318,0,628592,0,95460,0,0,0,9932250,271972,0,1042108,0,1144140,18009,9262,23214,0
intel_hsw,4391176,2,0,864,0,0,256948,0,405580,5888,24420352,7342,628564,0,356,0,0,38,0,271644,0,72,0,0,166912,7036,143330,3861
intel_hsw,4391330,504769,0,85716,0,0,0,0,96,59753,593,72985,12892,0,0,0,0,136,883912,405564,0,27194,0,16610,742,57798656,841,0
intel_hsw,4392945,628592,0,99882,0,3381,3696,0,16248,297,0,342,269212,0,38,0,0,0,0,96,0,128317,0,158434,0,6101,0,0
intel_hsw,INSTRUCTIONS_RETIRED,628564,0,0,0,458,39042,0,24876,0,755,0,268848,0,0,726274,0,2,12784,16248,0,747,0,696,19,0,953,0
